record,subject_cluster,selected_lead,segment,start_seconds,trajectory,pli_amplitude,noise,algorithm,algorithm_name,output_snr_db,prd_percent,correlation,frequency_mae_hz,tracker_calls,tracker_searches,tracker_grid_evaluations
100,subject_100,MLII,2,1500,F0,0.5,none,2,A2,15.25424780667583,17.269812122208453,0.9862634505546499,0.009101462364196778,160,159,5088
100,subject_100,MLII,2,1500,F0,0.5,none,3,A3,15.255381736586093,17.267557721205012,0.9862670995529983,0.008692479133605957,126,125,4000
100,subject_100,MLII,2,1500,F0,0.5,none,7,B4,15.256343383720285,17.265646071517317,0.9862702296344416,0.0075902223587036135,133,132,4224
100,subject_100,MLII,2,1500,F0,0.5,20dB,2,A2,13.956794617334134,20.05211895838026,0.9814707583327498,0.009101390838623047,160,159,5088
100,subject_100,MLII,2,1500,F0,0.5,20dB,3,A3,13.956811712714345,20.052079492272053,0.9814708167987424,0.009583353996276855,90,89,2848
100,subject_100,MLII,2,1500,F0,0.5,20dB,7,B4,13.950959154573685,20.065595149516714,0.9814446894927984,0.011419081687927246,80,79,2528
100,subject_100,MLII,2,1500,F1,0.2,none,2,A2,16.310640069713184,15.29213064854044,0.9892487753294875,0.10161774158477783,160,159,5088
100,subject_100,MLII,2,1500,F1,0.2,none,3,A3,16.312662459497943,15.288570500995785,0.9892538184818982,0.09890015125274658,127,126,4032
100,subject_100,MLII,2,1500,F1,0.2,none,7,B4,16.31078883060435,15.291868746582502,0.9892491205979246,0.10041403770446777,128,127,4064
100,subject_100,MLII,2,1500,F1,0.2,20dB,2,A2,14.628490921576995,18.559892531632144,0.984225958134052,0.10053033828735351,160,159,5088
100,subject_100,MLII,2,1500,F1,0.2,20dB,3,A3,14.626591077846625,18.56395253624636,0.9842180632304385,0.09931738376617431,114,113,3616
100,subject_100,MLII,2,1500,F1,0.2,20dB,7,B4,14.635484294216326,18.54495520087422,0.9842519881526273,0.10257191658020019,120,119,3808
100,subject_100,MLII,2,1500,F1,0.5,none,2,A2,13.498513589324814,21.13850766615115,0.9794967441746925,0.09120337963104248,160,159,5088
100,subject_100,MLII,2,1500,F1,0.5,none,3,A3,13.498645390691916,21.138186908786412,0.9794972813763089,0.0909050464630127,132,131,4192
100,subject_100,MLII,2,1500,F1,0.5,none,7,B4,13.497388880169051,21.141245003766883,0.9794913514016242,0.0923717737197876,125,124,3968
100,subject_100,MLII,2,1500,F1,0.5,20dB,2,A2,12.69065463352014,23.19889352151754,0.975574783102859,0.08057188987731934,160,159,5088
100,subject_100,MLII,2,1500,F1,0.5,20dB,3,A3,12.691119403266402,23.197652214542515,0.9755772533702964,0.07972965240478516,115,114,3648
100,subject_100,MLII,2,1500,F1,0.5,20dB,7,B4,12.68365119846657,23.21760633840315,0.9755333657943361,0.0803497314453125,96,95,3040
100,subject_100,MLII,2,1500,F2,0.2,none,2,A2,14.436705332491844,18.974255163555206,0.9834319885872275,0.24940428733825684,160,159,5088
100,subject_100,MLII,2,1500,F2,0.2,none,3,A3,14.442290764613869,18.96205775475237,0.9834543505452981,0.2468715190887451,123,122,3904
100,subject_100,MLII,2,1500,F2,0.2,none,7,B4,14.436222217462396,18.975310553752312,0.9834304231677147,0.25177655220031736,109,108,3456
100,subject_100,MLII,2,1500,F2,0.2,20dB,2,A2,13.365721897362306,21.46416056095771,0.9789956284326768,0.2552240610122681,160,159,5088
100,subject_100,MLII,2,1500,F2,0.2,20dB,3,A3,13.36662503825871,21.4619288778213,0.9790001645053247,0.2511643409729004,103,102,3264
100,subject_100,MLII,2,1500,F2,0.2,20dB,7,B4,13.360488389408589,21.477097255809483,0.9789684636008722,0.2613788604736328,102,101,3232
100,subject_100,MLII,2,1500,F2,0.5,none,2,A2,9.367442223308734,34.011664942758806,0.9490245498796115,0.2337254762649536,160,159,5088
100,subject_100,MLII,2,1500,F2,0.5,none,3,A3,9.367850081632868,34.010067914065225,0.949029397050914,0.23242473602294922,123,122,3904
100,subject_100,MLII,2,1500,F2,0.5,none,7,B4,9.367588288835174,34.01109299328894,0.9490260667730244,0.23254990577697754,122,121,3872
100,subject_100,MLII,2,1500,F2,0.5,20dB,2,A2,8.955692441497433,35.66279533200183,0.9443212799601417,0.23239707946777344,160,159,5088
100,subject_100,MLII,2,1500,F2,0.5,20dB,3,A3,8.955764473005352,35.66249958402668,0.9443222541371233,0.23096818923950196,107,106,3392
100,subject_100,MLII,2,1500,F2,0.5,20dB,7,B4,8.95557622288244,35.66327250919165,0.9443200750443523,0.2319840669631958,105,104,3328
